"","epoch","Middle layers","Number of nodes","Validation","Loss","Batch normalization"
"253",13,"2 layer","large","Validation error",25.2603569030762,TRUE
"254",14,"2 layer","large","Validation error",23.4369468688965,TRUE
"255",15,"2 layer","large","Validation error",23.8634586334229,TRUE
"256",16,"2 layer","large","Validation error",25.371654510498,TRUE
"257",17,"2 layer","large","Validation error",23.6098537445068,TRUE
"258",18,"2 layer","large","Validation error",23.1893043518066,TRUE
"259",19,"2 layer","large","Validation error",23.37428855896,TRUE
"260",20,"2 layer","large","Validation error",23.5557708740234,TRUE
"261",21,"2 layer","large","Validation error",23.9755191802979,TRUE
"262",22,"2 layer","large","Validation error",23.7486915588379,TRUE
"263",23,"2 layer","large","Validation error",24.9323062896729,TRUE
"264",24,"2 layer","large","Validation error",24.8356170654297,TRUE
"265",25,"2 layer","large","Validation error",23.3470516204834,TRUE
"266",26,"2 layer","large","Validation error",23.6389865875244,TRUE
"267",27,"2 layer","large","Validation error",23.6818733215332,TRUE
"268",28,"2 layer","large","Validation error",27.8639965057373,TRUE
"269",29,"2 layer","large","Validation error",24.4979705810547,TRUE
"270",30,"2 layer","large","Validation error",23.3484668731689,TRUE
"271",1,"2 layer","medium","Validation error",51.0751914978027,TRUE
"272",2,"2 layer","medium","Validation error",26.4001140594482,TRUE
"273",3,"2 layer","medium","Validation error",25.6688594818115,TRUE
"274",4,"2 layer","medium","Validation error",24.3623847961426,TRUE
"275",5,"2 layer","medium","Validation error",24.5996837615967,TRUE
"276",6,"2 layer","medium","Validation error",28.19508934021,TRUE
"277",7,"2 layer","medium","Validation error",23.7465744018555,TRUE
"278",8,"2 layer","medium","Validation error",24.1884117126465,TRUE
"279",9,"2 layer","medium","Validation error",24.8417301177979,TRUE
"280",10,"2 layer","medium","Validation error",23.968053817749,TRUE
"281",11,"2 layer","medium","Validation error",24.6457023620605,TRUE
"282",12,"2 layer","medium","Validation error",23.8232803344727,TRUE
"283",13,"2 layer","medium","Validation error",24.5846481323242,TRUE
"284",14,"2 layer","medium","Validation error",26.9706630706787,TRUE
"285",15,"2 layer","medium","Validation error",23.2781391143799,TRUE
"286",16,"2 layer","medium","Validation error",23.0063724517822,TRUE
"287",17,"2 layer","medium","Validation error",23.7051391601562,TRUE
"288",18,"2 layer","medium","Validation error",23.0517902374268,TRUE
"289",19,"2 layer","medium","Validation error",23.9186344146729,TRUE
"290",20,"2 layer","medium","Validation error",25.1077575683594,TRUE
"291",21,"2 layer","medium","Validation error",25.1576690673828,TRUE
"292",22,"2 layer","medium","Validation error",25.6821670532227,TRUE
"293",23,"2 layer","medium","Validation error",22.8827972412109,TRUE
"294",24,"2 layer","medium","Validation error",23.3198299407959,TRUE
"295",25,"2 layer","medium","Validation error",23.347827911377,TRUE
"296",26,"2 layer","medium","Validation error",23.0396556854248,TRUE
"297",27,"2 layer","medium","Validation error",23.5566673278809,TRUE
"298",28,"2 layer","medium","Validation error",23.0478229522705,TRUE
"299",29,"2 layer","medium","Validation error",23.0425510406494,TRUE
"300",30,"2 layer","medium","Validation error",23.7314586639404,TRUE
"301",1,"2 layer","medium large","Validation error",36.4430656433105,TRUE
"302",2,"2 layer","medium large","Validation error",24.8929271697998,TRUE
"303",3,"2 layer","medium large","Validation error",24.1808891296387,TRUE
"304",4,"2 layer","medium large","Validation error",28.5337429046631,TRUE
"305",5,"2 layer","medium large","Validation error",23.0731658935547,TRUE
"306",6,"2 layer","medium large","Validation error",23.6380443572998,TRUE
"307",7,"2 layer","medium large","Validation error",28.6276760101318,TRUE
"308",8,"2 layer","medium large","Validation error",23.5541534423828,TRUE
"309",9,"2 layer","medium large","Validation error",24.2805824279785,TRUE
"310",10,"2 layer","medium large","Validation error",23.2606391906738,TRUE
"311",11,"2 layer","medium large","Validation error",23.117359161377,TRUE
"312",12,"2 layer","medium large","Validation error",23.5334873199463,TRUE
"313",13,"2 layer","medium large","Validation error",24.8463954925537,TRUE
"314",14,"2 layer","medium large","Validation error",23.1328830718994,TRUE
"315",15,"2 layer","medium large","Validation error",25.0103893280029,TRUE
"316",16,"2 layer","medium large","Validation error",26.1078147888184,TRUE
"317",17,"2 layer","medium large","Validation error",24.7780075073242,TRUE
"318",18,"2 layer","medium large","Validation error",23.0867156982422,TRUE
"319",19,"2 layer","medium large","Validation error",23.1180438995361,TRUE
"320",20,"2 layer","medium large","Validation error",26.0254821777344,TRUE
"321",21,"2 layer","medium large","Validation error",22.9086151123047,TRUE
"322",22,"2 layer","medium large","Validation error",24.7455673217773,TRUE
"323",23,"2 layer","medium large","Validation error",23.3170776367188,TRUE
"324",24,"2 layer","medium large","Validation error",22.9848518371582,TRUE
"325",25,"2 layer","medium large","Validation error",25.0247974395752,TRUE
"326",26,"2 layer","medium large","Validation error",23.5309028625488,TRUE
"327",27,"2 layer","medium large","Validation error",23.1412315368652,TRUE
"328",28,"2 layer","medium large","Validation error",23.5899181365967,TRUE
"329",29,"2 layer","medium large","Validation error",24.0893421173096,TRUE
"330",30,"2 layer","medium large","Validation error",22.9198322296143,TRUE
"331",1,"2 layer","medium small","Validation error",68.1888885498047,TRUE
"332",2,"2 layer","medium small","Validation error",33.6307907104492,TRUE
"333",3,"2 layer","medium small","Validation error",25.0429630279541,TRUE
"334",4,"2 layer","medium small","Validation error",25.1201076507568,TRUE
"335",5,"2 layer","medium small","Validation error",25.6665992736816,TRUE
"336",6,"2 layer","medium small","Validation error",25.5139560699463,TRUE
"337",7,"2 layer","medium small","Validation error",24.9011459350586,TRUE
"338",8,"2 layer","medium small","Validation error",24.7706718444824,TRUE
"339",9,"2 layer","medium small","Validation error",23.7905120849609,TRUE
"340",10,"2 layer","medium small","Validation error",24.3509654998779,TRUE
"341",11,"2 layer","medium small","Validation error",24.8312435150146,TRUE
"342",12,"2 layer","medium small","Validation error",23.9021282196045,TRUE
"343",13,"2 layer","medium small","Validation error",24.2611694335938,TRUE
"344",14,"2 layer","medium small","Validation error",24.3080196380615,TRUE
"345",15,"2 layer","medium small","Validation error",24.097936630249,TRUE
"346",16,"2 layer","medium small","Validation error",24.799783706665,TRUE
"347",17,"2 layer","medium small","Validation error",23.5489177703857,TRUE
"348",18,"2 layer","medium small","Validation error",24.4372253417969,TRUE
"349",19,"2 layer","medium small","Validation error",25.0143947601318,TRUE
"350",20,"2 layer","medium small","Validation error",23.6438674926758,TRUE
"351",21,"2 layer","medium small","Validation error",23.6079730987549,TRUE
